Timestamp,UUID,Who would you most want to have dinner with?,I believe AGI is likely within the next 10 years.,I would most want to work at:,I prefer working solo rather than on large collaborations.,Your model training style is closest to:,Most current AI benchmarks are meaningless.,Your research style is most like:,We should slow down AI progress until safety is better understood.,I believe creativity is more important than rigor in research.,Your favorite kind of contribution:,"If my paper gets rejected, I assume the reviewers misunderstood it.","I regularly abandon ideas that don’t show quick promise.
",What is your favorite ML related podcast?,I’d rather build a working prototype than write a perfect paper.,What is the primary bottleneck right now?,Which statement do you most agree with?,What are you interested in outside of your research and career?,What is your field of research and what field are you most interested in branching out into?,"I want to be e-mailed about future matches with people attending other AI research conferences (ICLR, CVPR, ICML, etc.)."
12/4/2025 9:55:32,92578771-ba10-28ce-dce0-f7c5731be4af,Andrej Karpathy,3,My Own Startup,4,Grid search and prayer,3,Engineer: build systems that actually work,1,4,Codebase that actually runs,2,4,The Dwarkesh Podcast,4,Data: We have run out of quality human text.,"We are hitting the data wall, reasoning is the new frontier.",Investing  ,I’m an independent researcher working on some benchmarks and reinforcement learning. Looking to focus more on safety. ,Yes
12/4/2025 10:01:15,9761991e-4c61-fb91-3c13-59e1e7309f39,Andrej Karpathy,5,Mid-sized Startup,2,Careful tuning of every hyperparameter,2,Engineer: build systems that actually work,3,2,New model architecture,2,4,None,4,Data: We have run out of quality human text.,Inductive bias is not a dirty word.,"Biking, knitting, and cooking",I am currently a developer and would love to get into interpretability or XAI research,No
12/4/2025 10:06:35,fd8048ef-0505-dbd6-6885-8bf22b6485c0,Fei‑Fei Li,,Google DeepMind,3,Careful tuning of every hyperparameter,5,Engineer: build systems that actually work,3,3,Deep theoretical insight,2,3,Zvi,3,"Intelligence: The models aren't actually smart, they just memorize.",Inductive bias is not a dirty word.,Gardening,Eval and safety,Yes
12/4/2025 11:55:43,5345a657-3225-22ca-01e3-83966ec59a73,Noam Shazeer,3,Google DeepMind,3,Grid search and prayer,2,Engineer: build systems that actually work,1,4,Codebase that actually runs,2,2,SemiAnalysis,4,Energy: We can't build power plants fast enough.,"We are hitting the data wall, reasoning is the new frontier.","Hiking, being with people I love.","I am pretty new at ML Systems and would love to connect to more people in that field, specifically inference. ",Yes
12/4/2025 12:16:52,5f7b5b1a-a96e-171e-bc67-754e603cd22f,Richard Sutton,2,Anthropic,2,"Train now, analyze later",3,Engineer: build systems that actually work,4,4,Codebase that actually runs,2,4,Lex Fridman,4,Energy: We can't build power plants fast enough.,Scale is all you need.,,,Yes
12/4/2025 12:37:31,efec0389-909c-7497-b8df-4bd9f6d4ab0a,Yoshua Bengio,2,Google DeepMind,4,"Train now, analyze later",2,Synthesizer: I connect ideas from many fields,3,3,Deep theoretical insight,3,2,None,2,Data: We have run out of quality human text.,"We are hitting the data wall, reasoning is the new frontier.",activism,climate ai,No
12/4/2025 13:38:20,a7d2e85b-6828-b461-a2c1-7941b07da5d5,Yann LeCun,2,Google DeepMind,3,"Train now, analyze later",4,"Philosopher: abstract, first-principles reasoning",3,3,Deep theoretical insight,1,4,Machine Learning Street Talk,4,Compute: NVIDIA doesn't make enough H100s/Blackwells.,Inductive bias is not a dirty word.,Piano,"I work on machine learning with provable guarantees, spanning safety, optimization and statistics. These are broad and fundamental, and I am somewhat interested in branching into some applications of them.",Yes
12/4/2025 14:17:16,04955c8d-c04d-fb9a-44a6-812af934fd14,Geoffrey Hinton,1,Mid-sized Startup,2,Careful tuning of every hyperparameter,4,"Philosopher: abstract, first-principles reasoning",4,5,Deep theoretical insight,4,1,None,5,"Intelligence: The models aren't actually smart, they just memorize.","If it doesn't fit on a single GPU, it doesn't exist.","The outdoors, video games, and woodworking",DL theory =>? Efficient algorithms ,Yes
12/4/2025 14:21:35,b48f1c1c-743e-0363-cc4b-7db3987b26d0,Demis Hassabis,4,My Own Startup,2,Copy whatever works on Twitter,4,Synthesizer: I connect ideas from many fields,1,4,Deep theoretical insight,1,5,The Dwarkesh Podcast,5,"Intelligence: The models aren't actually smart, they just memorize.","We are hitting the data wall, reasoning is the new frontier.","Brain Upload, Anime / Manga","Current: Multi-agent systems, Interest: BCI, Diffusion, everything else",Yes
12/4/2025 14:24:24,70932775-68c9-8ed6-a8de-6af2904cb1f2,Mikhaïl Gromov,1,Research lab at a top university,3,Grid search and prayer,4,Theorist: math is the real lens of truth,4,1,Deep theoretical insight,3,2,None,1,"Intelligence: The models aren't actually smart, they just memorize.",Solving protein folding is worth more than a better chatbot.,"Boxing, Drawing, Trail Running",Geometrical Learning,Yes
12/4/2025 14:24:34,320b9076-b78d-1698-2a2a-904c83042d79,Demis Hassabis,4,Mid-sized Startup,2,Copy whatever works on Twitter,4,"Philosopher: abstract, first-principles reasoning",2,4,Better loss function,4,2,Generally Intelligent,4,Energy: We can't build power plants fast enough.,Inductive bias is not a dirty word.,surfing,compositionality and association,Yes
12/4/2025 14:25:15,b48f1c1c-743e-0363-cc4b-7db3987b26d0,Demis Hassabis,4,My Own Startup,2,Copy whatever works on Twitter,4,Synthesizer: I connect ideas from many fields,1,4,Deep theoretical insight,1,4,The Dwarkesh Podcast,5,"Intelligence: The models aren't actually smart, they just memorize.","We are hitting the data wall, reasoning is the new frontier.","P.S. not sure if my first submission went through please deduplicate if already did
Brain Upload, Anime / Manga","Current: Multiagent Systems
Most interested: BCI etc.",Yes
12/4/2025 14:26:24,45010004-b448-eeb1-9351-7dfc797b8a80,Geoffrey Hinton,4,Anthropic,3,Copy whatever works on Twitter,3,"Hacker: try stuff, see what sticks",3,3,Better loss function,3,3,None,3,Data: We have run out of quality human text.,Scale is all you need.,,,Yes
12/4/2025 14:26:52,00784460-85c2-388e-82e3-9180d43a9fbc,Dario Amodei,4,Mid-sized Startup,2,Grid search and prayer,2,"Hacker: try stuff, see what sticks",3,3,Deep theoretical insight,4,3,The Dwarkesh Podcast,5,Compute: NVIDIA doesn't make enough H100s/Blackwells.,"We are hitting the data wall, reasoning is the new frontier.",Reading prettttty books :))) I have a gilded edition of lord of the rings,"Ai for science things are really interesting, particularly e.g. for bio :)",Yes
12/4/2025 14:28:04,5dd097a6-8046-022f-f01f-a0018c5da9ce,Yann LeCun,2,My Own Startup,3,Grid search and prayer,4,"Philosopher: abstract, first-principles reasoning",3,4,New model architecture,2,2,None,5,"Intelligence: The models aren't actually smart, they just memorize.",Solving protein folding is worth more than a better chatbot.,"running, reading,",Adversarial Robustness,Yes
12/4/2025 14:31:04,725cca02-c3c5-3cc8-ce46-b0c03d9ccaf5,Demis Hassabis,5,My Own Startup,2,Grid search and prayer,4,"Hacker: try stuff, see what sticks",3,4,Deep theoretical insight,4,4,The Dwarkesh Podcast,4,"Intelligence: The models aren't actually smart, they just memorize.","We are hitting the data wall, reasoning is the new frontier.",music,AI scientist ,Yes
12/4/2025 14:35:34,4c0d2304-b4e0-3956-10df-5fe33cca41ec,Eliezer Yudkowsky,5,My Own Startup,1,Copy whatever works on Twitter,3,"Philosopher: abstract, first-principles reasoning",5,3,Deep theoretical insight,1,1,Zvi,2,Energy: We can't build power plants fast enough.,p(doom) is > 10%; we must pause giant runs.,,,Yes
12/4/2025 14:36:18,82f630ed-ca41-51e3-1295-9fd68a4e89f8,Fei‑Fei Li,5,My Own Startup,3,Careful tuning of every hyperparameter,3,Engineer: build systems that actually work,3,3,Deep theoretical insight,3,5,LLM Summaries,5,Data: We have run out of quality human text.,"We are hitting the data wall, reasoning is the new frontier.",Anime,Spatial / medical,Yes
12/4/2025 14:38:53,0d62ef6f-f1fc-7b6a-2a65-2373b827d052,Andrej Karpathy,5,Google DeepMind,2,"Train now, analyze later",4,"Hacker: try stuff, see what sticks",2,4,Deep theoretical insight,2,4,The Dwarkesh Podcast,4,Data: We have run out of quality human text.,Inductive bias is not a dirty word.,,,Yes
12/4/2025 14:41:03,12b99132-c26d-056e-a95e-db840e9a1618,Andrej Karpathy,4,My Own Startup,2,Careful tuning of every hyperparameter,4,"Philosopher: abstract, first-principles reasoning",4,3,Deep theoretical insight,2,2,The Cartesian cafe ,2,"Intelligence: The models aren't actually smart, they just memorize.",Solving protein folding is worth more than a better chatbot.,"Reading, hiking","Mechanistic interpretibility, neurosymbolic AI",Yes
12/4/2025 14:44:57,34220960-b2e8-5e2c-627f-0354f0dbb84f,Demis Hassabis,5,My Own Startup,3,"Train now, analyze later",3,Engineer: build systems that actually work,2,2,Better loss function,2,2,Last Week in AI / AI News,5,Data: We have run out of quality human text.,"We are hitting the data wall, reasoning is the new frontier.",New places,"Search, RAG, Agents",Yes
12/4/2025 14:45:18,19903bd0-425b-c162-30cc-7070c571ead6,Demis Hassabis,1,Google DeepMind,2,"Train now, analyze later",3,"Philosopher: abstract, first-principles reasoning",1,3,Deep theoretical insight,4,2,None,2,"Intelligence: The models aren't actually smart, they just memorize.",Solving protein folding is worth more than a better chatbot.,Aeroplanes,"LLM Security, AI for Math",Yes
12/4/2025 14:45:49,326c2f67-a84d-b87c-e470-cd338d963ec1,Andrej Karpathy,4,My Own Startup,2,Careful tuning of every hyperparameter,4,Synthesizer: I connect ideas from many fields,5,5,Deep theoretical insight,3,2,Zvi,5,"Intelligence: The models aren't actually smart, they just memorize.",p(doom) is > 10%; we must pause giant runs.,"Renaissance music, tango, psychohistory, bjj",GenAI for music,"Yes, No"
12/4/2025 15:10:42,9a4f703b-915e-2fa8-b48f-054ef5d4e6db,Timnit Gebru,3,Research lab at a top university,3,"Train now, analyze later",3,Engineer: build systems that actually work,4,4,Codebase that actually runs,1,5,Lex Fridman,5,Data: We have run out of quality human text.,Solving protein folding is worth more than a better chatbot.,Christian gatherings ;),I’m into medical imaging and wanna do multimodal integrating genomics and pathology ,Yes
12/4/2025 15:26:18,6d0fbeaf-1791-2f09-11a8-7401d92ca2ae,Elon Musk,4,My Own Startup,3,Copy whatever works on Twitter,2,Engineer: build systems that actually work,2,5,Codebase that actually runs,3,1,None,5,Energy: We can't build power plants fast enough.,Solving protein folding is worth more than a better chatbot.,Sports,Agentic AI,No
12/4/2025 15:28:41,bebabd5b-bb41-fce6-ad85-7ae3e256b33f,Demis Hassabis,2,My Own Startup,3,Careful tuning of every hyperparameter,3,Synthesizer: I connect ideas from many fields,2,2,Deep theoretical insight,3,3,Machine Learning Street Talk,2,"Intelligence: The models aren't actually smart, they just memorize.",Solving protein folding is worth more than a better chatbot.,Philosophy ,Current: Applied; Branch out: more theoretical grounding ,Yes
12/4/2025 15:31:34,1a9336f2-7753-24e3-8163-92a69e52fcbd,Demis Hassabis,3,Google DeepMind,3,Grid search and prayer,4,"Philosopher: abstract, first-principles reasoning",3,1,Deep theoretical insight,5,1,Lex Fridman,4,"Intelligence: The models aren't actually smart, they just memorize.",Inductive bias is not a dirty word.,Trying out life ,,Yes
12/4/2025 15:35:19,c84c465a-7f67-e2fc-4453-6cee570db6df,Demis Hassabis,3,Google DeepMind,4,Grid search and prayer,4,Synthesizer: I connect ideas from many fields,4,4,Codebase that actually runs,4,3,None,4,Data: We have run out of quality human text.,Solving protein folding is worth more than a better chatbot.,"Music! Musical composition, classical musical instruments, improv and theater, singing, dance","I am currently working in protein folding models and I would love to learn more about AI for chemistry and AI for physics, concerning materials and nuclear fusion",Yes
12/4/2025 15:37:43,3fd4060c-e22d-ab70-110a-1deef6611d72,Andrew Ng,2,My Own Startup,2,Grid search and prayer,4,"Hacker: try stuff, see what sticks",3,4,Cool dataset,3,4,Interconnects,4,"Intelligence: The models aren't actually smart, they just memorize.","We are hitting the data wall, reasoning is the new frontier.",Time with family,,Yes
12/4/2025 15:41:29,e90d01b4-040a-aff8-58c3-de21c23428c2,Andrew Ng,2,NGO for social good,4,Grid search and prayer,3,"Hacker: try stuff, see what sticks",1,3,Codebase that actually runs,2,2,Last Week in AI / AI News,4,Data: We have run out of quality human text.,Scale is all you need.,"Climbing, gorillas",Uncertainty estimation in LLMs,Yes
12/4/2025 15:42:59,e7854d19-bd9d-1c22-2db9-75f6311fc11c,Elon Musk,4,Google DeepMind,3,Careful tuning of every hyperparameter,4,"Philosopher: abstract, first-principles reasoning",3,4,Deep theoretical insight,3,3,None,3,"Intelligence: The models aren't actually smart, they just memorize.","We are hitting the data wall, reasoning is the new frontier.","reading, skiing, tennis, old movie, outdoor activities","Symbolic reasoning, self-evolving agents",Yes
12/4/2025 15:57:47,0a949d8c-36ac-9f0c-8633-ab04df36b0a2,Ilya Sutskever,3,Google DeepMind,2,Grid search and prayer,3,Synthesizer: I connect ideas from many fields,4,2,Deep theoretical insight,3,3,The Dwarkesh Podcast,2,"Intelligence: The models aren't actually smart, they just memorize.",Solving protein folding is worth more than a better chatbot.,,Computational neuroscience ,Yes
12/4/2025 16:09:29,99ff4ef2-f133-14d7-ade3-9b957ab339f1,Geoffrey Hinton,3,Research lab at a top university,4,"Train now, analyze later",3,Engineer: build systems that actually work,3,4,Deep theoretical insight,3,2,No Priors,5,"Intelligence: The models aren't actually smart, they just memorize.",p(doom) is > 10%; we must pause giant runs.,biology,neuroscience and neuromorphic computing,Yes
12/4/2025 16:14:05,6748fd35-aa43-fd2b-a5ae-5c45149c5891,Richard Sutton,4,Research lab at a top university,2,"Train now, analyze later",4,"Hacker: try stuff, see what sticks",4,4,Meme-worthy figures,2,4,Lex Fridman,3,"Intelligence: The models aren't actually smart, they just memorize.",p(doom) is > 10%; we must pause giant runs.,"tennis, guitar ","robustness, biomedical AI,, neurosymbolic ai, counterfactuals
Interested in branching out to reasoning efficiency","Yes, No"
12/4/2025 16:14:30,549f31ee-a89f-6406-2dfa-a751da09012c,Ilya Sutskever,5,Google DeepMind,2,Careful tuning of every hyperparameter,2,"Hacker: try stuff, see what sticks",1,3,Deep theoretical insight,2,3,Machine Learning Street Talk,4,"Intelligence: The models aren't actually smart, they just memorize.","We are hitting the data wall, reasoning is the new frontier.","Sci-fi, sports","Interpretability, science of deep learning, meta-learning",No
12/4/2025 16:16:42,b6b89c0f-e033-eb23-b0a5-cbf969fc86b6,Fei‑Fei Li,3,Google DeepMind,4,Grid search and prayer,5,"Philosopher: abstract, first-principles reasoning",1,5,Deep theoretical insight,3,1,The Dwarkesh Podcast,4,"Intelligence: The models aren't actually smart, they just memorize.",Inductive bias is not a dirty word.,,,
12/4/2025 16:18:45,e9559d5c-a932-195e-992f-679bb7b20475,Ilya Sutskever,2,Anthropic,3,Grid search and prayer,3,Synthesizer: I connect ideas from many fields,3,2,Deep theoretical insight,2,4,The Dwarkesh Podcast,3,"Intelligence: The models aren't actually smart, they just memorize.",Inductive bias is not a dirty word.,I love music,"AI for Science, Diffusion, Perception, World Modeling",Yes
12/4/2025 16:19:55,bf26d3fa-5052-85ec-ec90-e807cded4a0e,Andrej Karpathy,5,Research lab at a top university,3,Grid search and prayer,3,Theorist: math is the real lens of truth,4,4,Deep theoretical insight,2,4,Lex Fridman,4,"Intelligence: The models aren't actually smart, they just memorize.",p(doom) is > 10%; we must pause giant runs.,,,Yes
12/4/2025 16:26:55,ff2996a8-7a79-6e08-16c4-a8909832239c,Andrej Karpathy,4,OpenAI,2,Grid search and prayer,3,Theorist: math is the real lens of truth,5,2,Deep theoretical insight,3,2,Ezra Klein,2,"Intelligence: The models aren't actually smart, they just memorize.",p(doom) is > 10%; we must pause giant runs.,"Mma, tigers, ",LLM hallucinations and I want do ai for math,Yes
12/4/2025 16:28:43,8219a103-5ee8-f7b8-134a-08ec55011127,Noam Shazeer,4,My Own Startup,4,"Train now, analyze later",2,"Hacker: try stuff, see what sticks",1,5,Codebase that actually runs,,2,None,5,Data: We have run out of quality human text.,Inductive bias is not a dirty word.,Culinary diplomacy,"Signal processing, robotics",No
12/4/2025 16:29:13,64906ebf-885e-29d5-ef85-065f060cc322,Ilya Sutskever,3,Anthropic,3,Copy whatever works on Twitter,4,Synthesizer: I connect ideas from many fields,3,3,Deep theoretical insight,3,4,None,3,"Intelligence: The models aren't actually smart, they just memorize.",Solving protein folding is worth more than a better chatbot.,Swing dancing,"Causal inference, RL",Yes
12/4/2025 16:30:17,8df8287f-19e1-5191-8701-ecd413c7610f,Kaiming He,1,Research lab at a top university,3,"Train now, analyze later",1,"Hacker: try stuff, see what sticks",1,3,Cool dataset,5,3,Machine Learning Street Talk,5,Data: We have run out of quality human text.,Scale is all you need.,Badminton,"Computer vision, image/video reconstruction, image/video quality assessment, perceptual similarity metrics, vision language models. I want to branch out to video streaming, Generative AI, or Computer Graphics and learn Unreal Engine for game development.",Yes
12/4/2025 16:33:38,d2e1a660-36c2-f7c0-eab8-c92ff62a49ec,Demis Hassabis,5,My Own Startup,4,Grid search and prayer,3,"Curator: I love organizing, benchmarking, and visualizing",2,3,Codebase that actually runs,3,2,The Dwarkesh Podcast,5,"Intelligence: The models aren't actually smart, they just memorize.",Scale is all you need.,becoming a founder,"embodied, world models",No
12/4/2025 16:37:42,9b1c9b38-5eeb-2d05-fe84-1468a7386f46,Ilya Sutskever,4,Google DeepMind,3,,3,"Curator: I love organizing, benchmarking, and visualizing",4,3,Deep theoretical insight,2,3,No Priors,4,"Intelligence: The models aren't actually smart, they just memorize.",p(doom) is > 10%; we must pause giant runs.,workout，arts,AI safety & security ,Yes
12/4/2025 16:38:04,04aef76a-f595-78ec-4c22-35f6aea0f387,Liang Wenfeng,5,NVIDIA,5,Careful tuning of every hyperparameter,5,Engineer: build systems that actually work,1,3,Better loss function,3,3,The Robot Brains,3,Data: We have run out of quality human text.,Solving protein folding is worth more than a better chatbot.,"Medical, 3D automation",Computer vision,Yes
12/4/2025 16:43:22,d966e280-0b0b-1c5c-2860-ab72c3945061,Ilya Sutskever,2,NVIDIA,2,Grid search and prayer,4,Engineer: build systems that actually work,2,5,New model architecture,4,2,Latent Space,4,Energy: We can't build power plants fast enough.,"If it doesn't fit on a single GPU, it doesn't exist.",,,Yes
12/4/2025 16:45:53,5aa68ac5-df80-15bd-a583-e6aa159bd7a6,Yann LeCun,3,Google DeepMind,3,Careful tuning of every hyperparameter,3,Synthesizer: I connect ideas from many fields,3,2,New model architecture,3,3,None,3,Compute: NVIDIA doesn't make enough H100s/Blackwells.,Inductive bias is not a dirty word.,Good movies,"Computer vision, multimodal machine learning, generative AI",Yes
12/4/2025 16:48:28,ecb5bbab-1bea-955a-67cb-aad057cf586b,Andrej Karpathy,2,Research lab at a top university,2,Grid search and prayer,5,"Hacker: try stuff, see what sticks",1,3,New model architecture,2,1,None,5,"Intelligence: The models aren't actually smart, they just memorize.","If it doesn't fit on a single GPU, it doesn't exist.",Game development,Self driving,Yes
12/4/2025 17:00:22,c59ec60f-5e38-e357-a84e-983ffb6b458d,Liang Wenfeng,3,OpenAI,3,Careful tuning of every hyperparameter,4,"Philosopher: abstract, first-principles reasoning",1,2,Deep theoretical insight,5,4,Latent Space,3,Compute: NVIDIA doesn't make enough H100s/Blackwells.,Scale is all you need.,,,Yes
12/4/2025 17:00:37,1c512c54-7435-b868-e4c2-b2eddf0fc2f4,Ilya Sutskever,4,My Own Startup,3,"Train now, analyze later",4,"Philosopher: abstract, first-principles reasoning",1,5,Codebase that actually runs,5,2,Lex Fridman,5,Data: We have run out of quality human text.,Scale is all you need.,Traveling,Video gen; Agents,Yes
12/4/2025 17:02:47,ee48754a-58f5-cd93-e879-be35b7d0ed29,Demis Hassabis,2,Google DeepMind,2,"Train now, analyze later",3,Theorist: math is the real lens of truth,3,3,Deep theoretical insight,3,2,None,5,Data: We have run out of quality human text.,Inductive bias is not a dirty word.,Games and books,AI for Proteins,Yes
12/4/2025 17:06:52,6d906df0-071e-227f-4c6d-c1a80f6762c0,Kaiming He,4,My Own Startup,2,"Train now, analyze later",4,"Curator: I love organizing, benchmarking, and visualizing",4,5,Deep theoretical insight,4,3,No Priors,4,Data: We have run out of quality human text.,p(doom) is > 10%; we must pause giant runs.,,,Yes
12/4/2025 17:09:29,a2134fd2-95b1-d82d-5d43-7ca9849f0cab,Geoffrey Hinton,4,Google DeepMind,3,"Train now, analyze later",2,"Curator: I love organizing, benchmarking, and visualizing",3,3,Cool dataset,2,2,Last Week in AI / AI News,5,Data: We have run out of quality human text.,Scale is all you need.,"Swimming, Family, Travel",Datasets / AI in education,Yes
12/4/2025 17:10:43,dd9dfa16-4d25-808d-3372-52693f10d22f,Hannah Fry,2,My Own Startup,2,Grid search and prayer,4,"Hacker: try stuff, see what sticks",4,3,New model architecture,3,3,Latent Space,5,"Intelligence: The models aren't actually smart, they just memorize.",Solving protein folding is worth more than a better chatbot.,"music, games, literature sci FI fantasy. Good films ",I'm in healthcare research and I'm interested in creative AI and using AI in art (not to generate but as a part of art pieces) ,Yes
12/4/2025 17:10:49,4ed51a69-4358-9358-3672-9e813fb4c570,Kaiming He,5,Google DeepMind,2,Grid search and prayer,2,"Philosopher: abstract, first-principles reasoning",4,5,Deep theoretical insight,5,4,Latent Space,2,Data: We have run out of quality human text.,"We are hitting the data wall, reasoning is the new frontier.",,MLLM,Yes
12/4/2025 17:11:41,5c303823-7f0c-77df-ea14-c54812cf8d79,Demis Hassabis,2,Google DeepMind,3,Careful tuning of every hyperparameter,2,Engineer: build systems that actually work,2,2,New model architecture,1,1,Latent Space,5,Data: We have run out of quality human text.,Inductive bias is not a dirty word.,,,Yes
12/4/2025 17:11:41,e09d002d-bccf-290b-4c21-508f81f61d97,Dario Amodei,2,Anthropic,3,Copy whatever works on Twitter,3,Engineer: build systems that actually work,2,3,Deep theoretical insight,3,2,Latent Space,4,"Intelligence: The models aren't actually smart, they just memorize.",Solving protein folding is worth more than a better chatbot.,,,"Yes, No"
12/4/2025 17:12:48,77cf2c6b-3adb-5e0f-5da4-aca9322ad8cd,Richard Sutton,1,Google DeepMind,3,Grid search and prayer,4,"Hacker: try stuff, see what sticks",2,4,New model architecture,4,4,Machine Learning Street Talk,4,"Intelligence: The models aren't actually smart, they just memorize.","We are hitting the data wall, reasoning is the new frontier.",Music (I make electronic music) and cooking (I cook),"World models/RL - interested in SSL, predictive coding, evolutionary algorithms",Yes
12/4/2025 17:17:05,6111b31f-8c05-adbc-12e2-7b192fd8da79,Joshua Tenenbaum,1,My Own Startup,1,Grid search and prayer,5,"Philosopher: abstract, first-principles reasoning",1,4,New model architecture,2,5,The Dwarkesh Podcast,2,"Intelligence: The models aren't actually smart, they just memorize.",Inductive bias is not a dirty word.,"Philosophy, music","Agentic systems, branch into new model architectures: Bayesian models?",
12/4/2025 17:17:21,4560b672-8f8b-cd06-073c-2623c92816b3,Andrew Ng,1,Research lab at a top university,3,Grid search and prayer,3,Synthesizer: I connect ideas from many fields,1,3,New model architecture,5,1,Lex Fridman,3,"Intelligence: The models aren't actually smart, they just memorize.",Solving protein folding is worth more than a better chatbot.,,,Yes
12/4/2025 17:17:35,9dad1028-105f-c0b1-8a8f-d09e05aa9522,Elon Musk,1,Tesla/SpaceX/xAI,5,Grid search and prayer,5,Engineer: build systems that actually work,3,3,New model architecture,2,3,Latent Space,4,Compute: NVIDIA doesn't make enough H100s/Blackwells.,Inductive bias is not a dirty word.,Volley,Neuroscience,
12/4/2025 17:17:55,581c2933-c6ca-f058-7544-df085db18e9f,Sam Altman,5,OpenAI,3,"Write the paper first, train when the rebuttal comes",3,"Philosopher: abstract, first-principles reasoning",1,5,Deep theoretical insight,5,1,Last Week in AI / AI News,5,"Intelligence: The models aren't actually smart, they just memorize.",p(doom) is > 10%; we must pause giant runs.,Art ,Law and branch into art ai,Yes
